title,link,excerpt,published_at,funding_round,money_raised,Company,money_raised_float,linkedin_link,Company_at_Linkedin,CompanyName,Specialties,Industry,Website,Location,CompanySize,Description,Founded,Also-viewed,zip_code,City,address_check,Country,State,latitude,longitude,Industry_consolidated,spc_Food Business,spc_Education,spc_Financial Services,spc_Healthcare_health,spc_Human Resources,spc_Logistics and Supply Chain,spc_Entertainment,spc_Computer & Network Security & Hardware,spc_Real_estate,spc_Marketing and Advertising,spc_commerce,spc_mobile,spc_app,spc_analysis,spc_developer,spc_security,spc_social,spc_ds,spc_travel,spc_booking_ticketing,spc_Apparel,spc_cloud,spc_API,spc_device,spc_design,spc_enterprise,spc_product,spc_robotics_manufacturing,spc_total
Indian online lending platform Capital Float raises $45M Series C,https://techcrunch.com/2017/08/21/indian-online-lending-platform-capital-float-raises-45m-series-c/,"Capital Float, which claims to be the largest online lending platform in India, announced today that it has raised a $45 million Series C led by Ribbit Capital. Returning investors SAIF Partners, Sequ...",8/21/2017,Series C,$45 M,Capital Float,45.0,https://www.linkedin.com/company/capital-float,capital float,Capital Float,"Working Capital Finance, Small Business Lending, Digital Finance, Fin-Tech, ecommerce loans",Financial Services,http://www.capitalfloat.com,"Gokaldas Chambers, 3rd Floor, 5th Main, Bellary Road, Sadashivnagar, Bangalore, Karnataka 560080 India",201-500,"Capital Float is a digital finance company serving businesses in India. 

We provide fast, flexible and transparent working capital finance to businesses looking to grow their customer base, purchase inventory, or manage cash flows. Borrowers can apply online in minutes, and receive funds within 3 days.

Our innovative lending products are ideal for young, rapidly growing companies that have successfully initiated business relationships with reputed corporate clients or are increasing their sales rapidly on any of the online marketplaces. Sign up at www.capitalfloat.com to learn more and join our platform.

Get in touch with us today we look forward to serving your financial requirements for your business.",2013.0,"{'Lendingkart': 'https://www.linkedin.com/company/lendingkart', 'Faircent.com': 'https://www.linkedin.com/company/faircent', 'IndiaLends': 'https://www.linkedin.com/company/indialends', 'NeoGrowth Credit Pvt. Ltd. - SME business loans': 'https://www.linkedin.com/company/neogrowth-credit-pvt-ltd', 'Finomena': 'https://www.linkedin.com/company/finomena', 'KredX': 'https://www.linkedin.com/company/kredx-india'}",56008,,False,India,,,,Financial Services,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4
"Carwow, a UK startup that helps you buy a new car, raises $39M Series C",https://techcrunch.com/2017/07/30/carwow-series-c/,"Carwow, a platform that helps you buy a new car, has closed $39 million in Series C funding. The round was led by new investor Vitruvian Partners, with existing investors Accel Partners and Balderton ...",7/30/2017,Series C,$39 M,Carwow,39.0,https://www.linkedin.com/company/carwow,carwow,carwow,"New Cars, Car Reviews, Car Chooser, Car Buying",Information Technology and Services,http://www.carwow.co.uk,"6th Floor, New Penderel House 283-288 High Holborn London, London WC1V 7HP United Kingdom",51-200,"carwow is the most convenient, stress-free way to find and buy a new car, at a price you can be confident in.

carwow aims to solve the major pain points that buyers and dealers experience in the buying process, putting them in a more powerful position than ever before. Offering buyers crucial price confidence, a more convenient hassle free way to find and buy the car they want, and an altogether better buying experience.

And it's great news for dealers too. Through carwow, our dealer partners sell more cars than they could in the showroom alone, while reducing cost inefficiencies and increasing stock turnover. This means they can pass on great prices to carwow buyers.

Weâ??re a driven, energetic startup with a team of 140+ based in central London and Munich. We are backed by Europeâ??s leading VCs including: 

- Balderton Capital (Betfair, LOVEFiLM, Citymapper, MySQL)
- Accel (Facebook, Spotify, Dropbox, Groupon)
- Vitruvian Partners (JustEat, Skyscanner, Trustpilot)
- Episode 1 (Zoopla, Shazam, LOVEFiLM)
- Samos (Ocado, Betfair, PKR)

Weâ??ve raised over Â£48m in funding since we launched, so weâ??re growing fast.

Weâ??re relentlessly driven and constantly asking ourselves how we can make carwow better. If youâ??re proactive, motivated, and want to help us change the future of car buying, get in touch. Itâ??s the chance to be at the start of something huge. 

Roles we're hiring for - https://www.carwow.co.uk/jobs",2013.0,"{'carwow GmbH': 'https://www.linkedin.com/company/carwow-gmbh', 'Deliveroo': 'https://www.linkedin.com/company/deliveroo', 'Appear Here': 'https://www.linkedin.com/company/appear-here', 'Onfido': 'https://www.linkedin.com/company/onfido', 'GoCardless': 'https://www.linkedin.com/company/gocardless', 'CARWOW LTD': 'https://www.linkedin.com/company/carwow-ltd'}",not found,,False,United Kingdom,,,,Information Technology and Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Stash raises $40 million Series C to make investing more approachable,https://techcrunch.com/2017/07/13/stash-raises-40-million-series-c-to-make-investing-more-approachable/,"Micro-investing app Stash has raised an additional $40 million in Series C funding, the company announced this morning, following rapid growth in terms of sign-ups from new users - 86 percent of whom ...",7/13/2017,Series C,$40 M,Stash,40.0,https://www.linkedin.com/company/stashinvest,stashinvest,Stash Invest,"Investing, Financial Technology, Personal Finance",Financial Services,http://www.stashinvest.com,"19 West 22nd Street New York, NY 10010 United States",51-200,"Stash is investing, simplified. We are an investing platform that makes it easy for anyone to start with as little as $5. We provide guidance and help investors learn the basics, so they can do it themselves. 

We do not adopt, endorse, or guarantee the accuracy of content posted by others, and such content does not represent our views.

Getting started on Stash is simple. Investors sign up on an app, choose from a selection of curated investments, and make an initial investment. Investors can then make additional investments whenever they like or make automatic recurring investments by setting up Auto-Stash.  The Stash virtual advisor helps guide investors throughout the process with advice and support. Stash encourages investors to build good financial habits for life. Unlike purely automated alternatives, Stash empowers investors to think about their views, share ideas with friends, and build their own portfolios.",2015.0,"{'Acorns': 'https://www.linkedin.com/company/acorns-grow-inc-', 'Stash': 'https://www.linkedin.com/company/stash', 'Cadre': 'https://www.linkedin.com/company/cadre-technologies-inc', 'Robinhood': 'https://www.linkedin.com/company/robinhood', 'Betterment': 'https://www.linkedin.com/company/betterment', 'Wealthfront Inc.': 'https://www.linkedin.com/company/wealthfront-inc-'}",10010,New York,True,United States,NY,40.738831899999994,-73.98153370000001,Financial Services,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Blowing up the re-location industry, Move Guides raises $48M Series C",https://techcrunch.com/2017/07/11/blowing-up-the-re-location-industry-move-guides-raises-48m-series-c/,"Whatever any country leader says about banning travel or shutting down the movement of people, the world is accelerating its globalisation and that means people move around. Duh. Talent is now global,...",7/11/2017,Series C,$48 M,Move Guides,48.0,https://www.linkedin.com/company/move-guides,move guides,MOVE Guides,"International Relocation, Global Mobility, Employee Relocation, Moving Abroad, Human Resources Management, Corporate Relocation",Human Resources,http://www.moveguides.com,"6 Ramillies Street London, W1F 7TY United Kingdom",51-200,"MOVE Guides helps HR teams move their employees around the world for any reason, any location and any period of time. MOVE Guides partners with leading multinational companies to deliver a full global mobility program across 200 countries with their Talent Mobility Cloud platform, concierge-level support for employees and a global supply chain of partners.

MOVE Guides has offices in the Americas, EMEA and APAC, and is backed by New Enterprise Associates and Notion Capital. For more information go to: http://www.moveguides.com and follow MOVE Guides on Twitter, Facebook and LinkedIn.",2011.0,"{'Workable': 'https://www.linkedin.com/company/workable-hr', 'Santa Fe Relocation': 'https://www.linkedin.com/company/santa-fe-relocation-services', 'Globoforce': 'https://www.linkedin.com/company/globoforce', 'SIRVA Worldwide Relocation & Moving': 'https://www.linkedin.com/company/sirva-worldwide', 'Cartus': 'https://www.linkedin.com/company/cartus', 'BGRS': 'https://www.linkedin.com/company/bgrs'}",not found,,False,United Kingdom,,,,Human Resources,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5
Cohesity raises $90M+ Series C round for its hyperconverged data platform,https://techcrunch.com/2017/04/04/cohesity-raises-90m-series-c-round-for-its-hyperconverged-data-platform/,"Cohesity, a company that helps enterprises to store and manage all of the secondary data they create outside of their production apps, today announced that it has raised over $90 million in a Series C...",4/4/2017,Series C,$90 M,Cohesity,90.0,https://www.linkedin.com/company/cohesity,cohesity,Cohesity,"Storage, Backup, Recovery, Analytics, Test & Dev, Distributed Systems, Data Protection, startups",Computer Software,http://www.cohesity.com,"451 El Camino Real Santa Clara, California 95050 United States",201-500,"Cohesity is a startup based in Santa Clara, founded in 2013 by Mohit Aron, who also happens to be the co-founder and former CTO of Nutanix. Mohit Aron has embedded the spirit of distributed architectures and hyper-converged technologies into Cohesityâ??s DNA- the result is a distributed scale-out hyper-converged platform that focuses on secondary storage needs.  

Cohesityâ??s mission is to eliminate secondary storage silos and provide an all-encompassing single solution. Secondary storage is a market with a much larger need for capacity than primary storage. In fact, up to 80% of all the data generated in the world qualifies for secondary storage and so far there is no established leader in the secondary storage market, which is a massive opportunity for Cohesity! Â   

Check out this article that simply explains Cohesity:Â http://bit.ly/2vQp449

For more information, visit www.cohesity.com and follow @cohesity on Twitter.",2013.0,"{'Rubrik, Inc.': 'https://www.linkedin.com/company/rubrik-inc', 'Nutanix': 'https://www.linkedin.com/company/nutanix', 'Hedvig Inc.': 'https://www.linkedin.com/company/hedvig-inc', 'Datrium': 'https://www.linkedin.com/company/datrium', 'Pure Storage': 'https://www.linkedin.com/company/pure-storage', 'Springpath': 'https://www.linkedin.com/company/springpath'}",95050,Santa Clara,True,United States,CA,37.353966299999996,-121.95299920000001,Computer Software,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"After bump in the road, Movinga raises ?17M Series C",https://techcrunch.com/2016/12/08/on-the-movinga-again/,"Berlin's startup scene is probably the most gossipy in Europe. And over the last year, one startup, removals platform Movinga, has generated more gossip than most. The company reportedly burned throug...",12/8/2016,Series C,$20.2 M,Movinga,20.2,https://www.linkedin.com/company/movinga-gmbh,movinga gmbh,Movinga,,Logistics and Supply Chain,http://www.movinga.d,"Sonnenburger Str. 73, 10437 Berlin, Germany",201-500,"Movinga is Europeâ??s fastest growing online provider of removals. Our primary mission is simple: to bring the moving process into the 21st century. We achieve this with a transparent and user-friendly online booking process. Our great customer service combined with our use of technology have helped us to improve the moving experience for customers across the globe. 

As an international moving service, we assist people daily to schedule and book their move in only a few clicks. Our booking service offers our clients a guaranteed fixed price that can be tailored to their specific needs. We prove that high quality doesnâ??t have to come at a high price. 

Our services are in demand and we have experienced unprecedented growth throughout Europe. We are already active in the German, French, Austrian and Swiss markets. To match this growth we are expanding our team with the sharpest talent we can find. Our positions range from moving specialists to market managers, from designers to developers, and everything in between. We are all driven by one common goal: to create a brand which is synonymous with moving worldwide. 

Movinga. Book Easy. Move Easy. No Surprises.",2015.0,"{'Move24 Group GmbH': 'https://www.linkedin.com/company/move24-group-gmbh', 'Rocket Internet SE': 'https://www.linkedin.com/company/rocket-internet-ag', 'Dubsmash': 'https://www.linkedin.com/company/dubsmash', 'N26': 'https://www.linkedin.com/company/n26', 'Blinkist': 'https://www.linkedin.com/company/blinkist', 'Homebell': 'https://www.linkedin.com/company/homebell'}",10437,,False,Germany,,,,Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3
Leanplum raises $29M Series C round for its mobile marketing platform,https://techcrunch.com/2016/10/19/leanplum-raises-29m-series-c-round-for-its-mobile-marketing-platform/,Leanplum started out as a mobile A/B testing platform but has since built on this foundation to become a fully-fledged mobile marketing platform. The company has now raised a $29 million Series C roun...,10/19/2016,Series C,$29 M,Leanplum,29.0,https://www.linkedin.com/company/leanplum,leanplum,Leanplum,"Mobile Apps for Brands, Mobile Apps, Big Data, Mobile App AB Testing, Dynamic Content, Mobile App Analytics, iOS, Android, Retention, Engagement, Personalization, Digital Agencies, Tablets, Optimization, Mobile Marketing Automation, Mobile Messaging",Internet,http://leanplum.me/UuYn30a5eF2,"- San Francisco, CA 94103 United States",51-200,"Leanplum is the mobile marketing platform built for engagement. Leanplum helps brands orchestrate multi-channel campaigns â?? from messaging to the in-app experience â?? all from a single, integrated platform. Mobile disruptors like Lyft, Tinder, Grab, TED, and Zynga rely on Leanplum to accelerate growth and build long-term customer relationships. Delivering personal engagement in the moments that matter, Leanplum captures more than 15 billion data points each day and sends more than 5 billion push notifications per month. Founded in 2012, Leanplum is based in San Francisco with offices in New York, London, Singapore, and Sofia, Bulgaria. Leanplum has received more than $46MM in funding from Canaan Partners, Kleiner Perkins, and Shasta Ventures. Leanplum has been named to Business Insider's Most Valuable Enterprise Startups of 2016, The Muse's Most Innovative Startups, and SF Business Timesâ?? Best Places to Work. Learn more at www.leanplum.com.",2012.0,"{'Appboy': 'https://www.linkedin.com/company/appboy', 'Localytics': 'https://www.linkedin.com/company/localytics', 'Apptimize, Inc.': 'https://www.linkedin.com/company/apptimize-inc-', 'Kahuna': 'https://www.linkedin.com/company/kahuna-inc', 'Iterable': 'https://www.linkedin.com/company/iterable', 'Mixpanel': 'https://www.linkedin.com/company/mixpanel-inc-'}",94103,San Francisco,True,United States,CA,37.7726402,-122.4099154,Internet,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6
"Forter raises $32M Series C, continues battle against online fraud",https://techcrunch.com/2016/04/21/forter-series-c/,"Fraud prevention company Forter today announced a $32 million Series C funding led by Scale Venture Partners, with follow-on funding from Sequoia and NEA. The company uses its Decision as a Service al...",4/21/2016,Series C,$32 M,Forter,32.0,https://www.linkedin.com/company/forter,forter,Forter,"fraud prevention, ecommerce, data analytics, risk management",Internet,http://forter.com,"315 W 36th St New York, New York 10018 United States",51-200,"Forter provides new generation fraud prevention to meet the challenges faced by modern enterprise e-commerce. Only Forter provides fully automated, real-time Decision as a Serviceâ?¢ fraud prevention, with approve/decline decisions backed by a 100% chargeback guarantee. The system eliminates the need for rules, scores or manual reviews, making fraud prevention friction-free.

The result is fraud prevention that is invisible to buyers and empowers merchants with increased approvals, smoother checkout and the near elimination of false positives - meaning more sales and happier customers.

Behind the scenes, Forterâ??s machine learning technology combines advanced cyber intelligence with behavioral and identity analysis to create a multi-layered fraud detection mechanism.

The result is best for online merchants, and best for online customers.",2013.0,"{'Riskified': 'https://www.linkedin.com/company/riskified', 'Sift Science': 'https://www.linkedin.com/company/sift-science', 'Kount': 'https://www.linkedin.com/company/kount', 'ThreatMetrix': 'https://www.linkedin.com/company/threatmetrix', 'Signifyd': 'https://www.linkedin.com/company/signifyd', 'iovation Inc.': 'https://www.linkedin.com/company/iovation'}",10018,New York,True,United States,NY,40.755322,-73.9932872,Internet,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5
MemSQL raises $36M Series C round for its in-memory database platform,https://techcrunch.com/2016/04/21/memsql-raises-36m-series-c-round-for-its-in-memory-database-platform/,In-memory database platform MemSQL today announced that it has raised a $36 million Series C funding round. The round was led by new investors REV and Caffeinated Capital and existing investors Accel ...,4/21/2016,Series C,$36 M,MemSQL,36.0,https://www.linkedin.com/company/memsql,memsql,MemSQL,"analytics, real-time analytics, database software, database management, in-memory, speed, SQL, scale, DBMS, real-time transactions",Computer Software,http://www.memsql.com,"534 4th Street San Francisco, CA 94107 United States",51-200,"MemSQL delivers the leading database platform for real-time analytics. Global enterprises use MemSQL to achieve peak performance and optimize data efficiency. With the combined power of database, data warehouse, and streaming workloads in one system, MemSQL helps companies anticipate problems before they occur, turn insights into actions, and stay relevant in a rapidly changing world.",2011.0,"{'Mesosphere, Inc.': 'https://www.linkedin.com/company/mesosphere', 'Databricks': 'https://www.linkedin.com/company/databricks', 'Trifacta': 'https://www.linkedin.com/company/trifacta', 'Couchbase': 'https://www.linkedin.com/company/couchbase', 'MarkLogic': 'https://www.linkedin.com/company/marklogic', 'Docker, Inc': 'https://www.linkedin.com/company/docker'}",94107,San Francisco,True,United States,CA,37.7618242,-122.3985871,Computer Software,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
Fugue Raises $20M Series C Round For Its Cloud Operating System,https://techcrunch.com/2016/01/14/fugue-aka-luminal-raises-20m-series-c-round-for-its-cloud-operating-system/,"Fugue (the company previously known as Luminal), today announced that it has raised $20 million in a Series C funding round led by New Enterprise Associates (NEA). The Frederick, MD- and Washington, D...",1/14/2016,Series C,$20 M,Fugue,20.0,https://www.linkedin.com/company/fugue-inc-,fugue inc ,"Fugue, Inc.",,Computer Software,http://www.fugue.co,"47 E All Saints St, Frederick, MD 21701",51-200,"Fugue is an infrastructure-level operating system for cloud computing. It builds, enforces, and terminates cloud infrastructureâ??continuously and automatically. Declare your cloud and let Fugue automate the rest. Available for Amazon Web Services. 

Our founders started Fugue in 2013 to face one of cloud computingâ??s most vexing challengesâ??the nitty-gritty management of cloud infrastructure operations for businesses large and small. Since then, weâ??ve invested the time, effort, and resources required to build a new kind of cloud-native operating system, designed according to cloudâ??s first principles. No short cuts. Our devoted team of more than 60 skilled engineers and talented creative professionals combine decades of experience with fresh vision and relentless quality control to deliver an innovative approach that works.

Weâ??re based in Frederick, MD, Washington, D.C., and Silicon Valley, CA. But, we span the globe, with team members in New York and Atlanta and as far away as Zurich, Tokyo, and New Zealand, all collaborating daily. Weâ??re venture-backed, having raised $74MM to date, with prescient, supportive partners at New Enterprise Associates, Future Fund (Australia's sovereign wealth fund), The Maryland Venture Fund, and Core Capital. 

Check out career opportunities at Fugue: https://fugue.co/careers/",2013.0,"{'Fugue': 'https://www.linkedin.com/company/fugue', 'Cloudinary': 'https://www.linkedin.com/company/cloudinary', 'Cirba': 'https://www.linkedin.com/company/cirba', 'Evident.io': 'https://www.linkedin.com/company/evident-io', 'Logz.io': 'https://www.linkedin.com/company/logz-io', 'Reputation.com': 'https://www.linkedin.com/company/reputation-com'}",21701,Frederick,True,United States,MD,39.424155799999994,-77.3668965,Computer Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4
